parcel_number,account_id,owner,situs_address,taxes_due,interest_due,penalty_due,total_due,assessed_value,tax_rate,status
APC-101,0511877,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #101,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-102,0511884,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #102,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-103,0511891,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #103,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-104,0511909,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #104,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-105,0511916,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #105,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-106,0511923,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #106,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-107,0511930,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #107,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-108,0511947,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #108,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-109,0511954,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #109,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-110,0511961,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #110,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-111,0511978,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #111,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-112,0511985,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #112,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-113,0511992,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #113,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
